,ID,Lat,Lon,Elev-m,Station Name,BI,Type,Temperature,Atmospheric_Pressure,Humidity,Precipitation,Radiation
0,ACW00011604,57.7667,11.8667,18.0,SAVE,45,Automatic,1,1,1,0,0
1,AE000041196,25.333,55.517,34.0,SHARJAH_INTER_AIRP,39,Automatic,1,1,1,1,1
2,AEM00041184,25.617,55.933,31.0,RAS_AL_KHAIMAH_INTE,17,Semiautomatic,1,1,0,1,0
3,AEM00041194,25.255,55.364,10.4,DUBAI_INTL,104,Semiautomatic,1,0,1,1,1
4,AEM00041216,24.43,54.47,3.0,ABU_DHABI_BATEEN_AIR,114,Semiautomatic,0,1,0,1,1
5,AEM00041217,24.433,54.651,26.8,ABU_DHABI_INTL,39,Manual,1,1,0,0,0
6,AEM00041218,24.262,55.609,264.9,AL_AIN_INTL,27,Automatic,0,1,0,1,0
7,AF000040930,35.317,69.017,3366.0,NORTH_SALANG,0,Automatic,1,0,0,0,0
8,AFM00040911,36.7,67.2,378.0,MAZAR_I_SHARIF,0,Automatic,0,1,0,0,1
9,AFM00040938,34.21,62.228,977.2,HERAT,0,Semiautomatic,1,1,1,0,1
10,AFM00040948,34.566,69.212,1791.3,KABUL_INTL,0,Automatic,1,0,0,0,0
11,AFM00040990,31.5,65.85,1010.0,KANDAHAR_AIRPORT,0,Semiautomatic,1,0,1,0,0
12,AFXLT299877,34.5,65.3,2230.0,CHAKHCHARAN,0,Automatic,0,0,1,1,1
13,AG000060390,36.7167,3.25,24.0,ALGER_DAR_EL_BEIDA,25,Automatic,0,0,1,1,1
14,AG000060590,30.5667,2.8667,397.0,EL_GOLEA,12,Manual,1,1,0,1,1
15,AG000060611,28.05,9.6331,561.0,IN_AMENAS,15,Manual,1,1,1,1,1
16,AG000060680,22.8,5.4331,1362.0,TAMANRASSET,0,Manual,1,0,0,0,1
17,AGE00135039,35.7297,-0.65,50.0,ORAN_HOPITAL_MILITAIRE,24,Manual,1,1,0,1,1
18,AGE00147704,36.97,7.79,161.0,ANNABA_CAP_DE_GARDE,9,Semiautomatic,0,0,0,0,1
19,AGE00147705,36.78,3.07,59.0,ALGIERS_VILLE_UNIVERSITE,61,Manual,1,1,0,1,1
20,AGE00147706,36.8,3.03,344.0,ALGIERS_BOUZAREAH,42,Manual,0,0,0,0,1
21,AGE00147707,36.8,3.04,38.0,ALGIERS_CAP_CAXINE,41,Automatic,1,1,1,0,1
22,AGE00147708,36.72,4.05,222.0,TIZI_OUZOU,27,Semiautomatic,1,1,0,1,1
23,AGE00147709,36.63,4.2,942.0,FORT_NATIONAL,8,Automatic,1,0,0,0,1
24,AGE00147710,36.75,5.1,9.0,BEJAIA_BOUGIE_PORT,25,Semiautomatic,1,1,1,0,0
25,AGE00147711,36.3697,6.62,660.0,CONSTANTINE,36,Automatic,1,1,0,0,1
26,AGE00147712,36.17,1.34,112.0,ORLEANSVILLE_CHLEF,30,Manual,1,0,0,0,1
27,AGE00147713,36.18,5.4,1081.0,SETIF,27,Semiautomatic,1,1,0,0,1
28,AGE00147714,35.77,0.8,78.0,ORAN_CAP_FALCON,0,Semiautomatic,0,1,1,1,1
29,AGE00147715,35.42,8.1197,863.0,TEBESSA,31,Semiautomatic,0,1,0,1,0
30,AGE00147716,35.1,-1.85,83.0,NEMOURS_GHAZAOUET,18,Manual,0,0,1,0,1
31,AGE00147718,34.85,5.72,125.0,BISKRA,38,Semiautomatic,1,0,1,1,0
32,AGE00147719,33.7997,2.89,767.0,LAGHOUAT,19,Automatic,0,0,0,1,0
33,AGE00147720,33.68,1.0,1320.0,GERYVILLE_EL_BAYADH,18,Manual,1,1,0,1,1
34,AGM00060351,36.795,5.874,11.0,JIJEL,11,Manual,1,1,0,0,0
35,AGM00060353,36.817,5.883,6.0,JIJEL_PORT,17,Automatic,0,0,0,1,1
36,AGM00060355,36.933,6.95,7.0,SKIKDA,49,Automatic,1,0,1,1,0
37,AGM00060360,36.822,7.809,4.9,ANNABA,14,Manual,0,0,0,0,0
38,AGM00060367,36.9,8.45,13.0,EL_KALA,8,Manual,0,0,1,1,1
39,AGM00060369,36.767,3.1,12.0,ALGER_PORT,28,Automatic,1,1,1,0,1
40,AGM00060387,36.917,3.95,8.0,DELLYS,0,Semiautomatic,1,0,1,0,1
41,AGM00060402,36.712,5.07,6.1,SOUMMAM,13,Manual,1,1,0,0,0
42,AGM00060403,36.467,7.467,228.0,GUELMA,26,Manual,0,1,1,1,0
43,AGM00060405,36.5,7.717,111.0,BOUCHEGOUF,0,Semiautomatic,0,1,0,0,0
44,AGM00060410,36.5,1.333,18.0,TENES,12,Manual,1,1,0,0,0
45,AGM00060415,36.317,3.533,748.0,AIN_BESSAM,0,Semiautomatic,1,1,1,1,1
46,AGM00060417,36.383,3.883,560.0,BOUIRA,21,Manual,0,1,0,1,1
47,AGM00060419,36.276,6.62,690.4,MOHAMED_BOUDIAF_INTL,0,Semiautomatic,0,1,1,1,0
48,AGM00060421,35.867,7.117,891.0,OUM_EL_BOUAGHI,22,Automatic,1,1,0,1,1
49,AGM00060423,36.283,7.967,680.0,SOUK_AHRAS,26,Semiautomatic,1,1,1,1,0
50,AGM00060425,36.213,1.332,141.1,ECH_CHELIFF,10,Semiautomatic,0,1,0,0,0
51,AGM00060430,36.3,2.233,721.0,MILIANA,11,Manual,0,0,0,1,1
52,AGM00060437,36.283,2.733,1036.0,MEDEA,21,Manual,0,1,1,1,0
53,AGM00060444,36.067,4.767,930.0,BORDJ_BOU_ARRERIDJ,29,Semiautomatic,0,1,0,1,0
54,AGM00060445,36.178,5.324,1050.0,SETIF_AIN_ARNAT,9,Semiautomatic,0,0,1,1,1
55,AGM00060452,35.817,-0.267,4.0,ARZEW,188,Manual,1,0,1,0,0
56,AGM00060457,35.883,0.117,138.0,MOSTAGANEM,10,Automatic,1,1,1,1,0
57,AGM00060461,35.7,-0.65,22.0,ORAN_PORT,57,Semiautomatic,0,0,0,1,0
58,AGM00060467,35.667,4.5,442.0,M'SILA,9,Semiautomatic,0,1,1,1,1
59,AGM00060468,35.55,6.183,1052.0,BATNA,38,Automatic,0,1,1,0,0
60,AGM00060475,35.432,8.121,811.1,CHEIKH_LARBI_TEBESSI,25,Semiautomatic,0,1,0,0,1
61,AGM00060476,35.467,7.083,987.0,KHENCHELLA,11,Semiautomatic,1,1,0,0,1
62,AGM00060490,35.624,-0.621,89.9,ES_SENIA,14,Automatic,0,1,0,1,1
63,AGM00060506,35.6,0.3,476.0,MASCARA_MATEMORE,0,Manual,1,1,1,1,1
64,AGM00060507,35.208,0.147,513.9,GHRISS,0,Manual,1,1,1,0,0
65,AGM00060511,35.341,1.463,989.1,BOU_CHEKIF,0,Semiautomatic,0,1,1,0,0
66,AGM00060514,35.167,2.317,801.0,KSAR_CHELLALA,0,Manual,0,1,0,0,0
67,AGM00060515,35.333,4.206,459.0,BOU_SAADA,0,Manual,0,0,1,0,0
68,AGM00060518,35.3,-1.35,70.0,BENI_SAF,10,Automatic,1,0,0,1,1
69,AGM00060520,35.2,-0.617,476.0,SIDI_BEL_ABBES,32,Automatic,1,0,0,0,0
70,AGM00060522,34.82,-1.77,426.0,MAGHNIA,0,Automatic,1,0,1,1,0
71,AGM00060531,35.017,-1.45,248.1,ZENATA,7,Automatic,0,0,0,1,0
72,AGM00060535,34.683,3.25,1144.0,DJELFA_TLETSI,32,Automatic,0,1,1,0,0
73,AGM00060536,34.867,0.15,752.0,SAIDA,20,Manual,0,1,1,1,1
74,AGM00060540,34.15,0.067,1001.0,EL_KHEITER,0,Automatic,1,1,0,1,1
75,AGM00060549,33.536,-0.242,1175.0,MECHERIA,16,Automatic,1,0,1,1,0
76,AGM00060550,33.667,1.0,1347.0,EL_BAYADH,16,Semiautomatic,0,1,1,0,1
77,AGM00060555,33.068,6.089,85.0,SIDI_MAHDI,6,Semiautomatic,1,1,1,0,1
78,AGM00060557,33.267,-0.3,1166.0,NAAMA,17,Semiautomatic,0,1,1,0,0
79,AGM00060559,33.511,6.777,61.9,GUEMAR,11,Automatic,0,1,1,0,1
80,AGM00060560,32.767,-0.6,1059.0,AIN_SEFRA,26,Manual,0,0,1,1,1
81,AGM00060563,32.933,3.283,764.0,HASSIR'MEL,38,Automatic,0,0,1,1,1
82,AGM00060566,32.384,3.794,460.9,NOUMERAT,8,Manual,0,0,1,1,0
83,AGM00060571,31.646,-2.27,811.1,BECHAR,9,Semiautomatic,0,1,1,0,0
84,AGM00060580,31.917,5.413,150.0,OUARGLA,14,Automatic,1,0,0,1,1
85,AGM00060581,31.673,6.14,141.1,OUED_IRARA,34,Manual,0,1,1,0,1
86,AGM00060602,30.133,-2.167,505.0,BENI_ABBES,10,Semiautomatic,1,0,1,1,1
87,AGM00060603,29.717,6.7,252.0,RHOURD_NOUSS,82,Automatic,0,0,0,0,0
88,AGM00060607,29.237,0.276,313.0,TIMIMOUN,0,Manual,1,1,0,1,0
89,AGM00060620,27.838,-0.186,280.1,TOUAT_CHEIKH_SIDI_MOHAMED_BEL,0,Semiautomatic,1,0,0,1,0
90,AGM00060630,27.233,2.5,269.0,IN_SALAH,14,Manual,1,1,0,0,0
91,AGM00060640,26.724,8.623,541.9,ILLIZI_TAKHAMALT,0,Manual,1,1,0,1,0
92,AGM00060656,27.7,-8.167,442.9,TINDOUF,0,Semiautomatic,0,1,1,0,1
93,AGM00060670,24.293,9.452,968.0,TISKA,0,Semiautomatic,1,0,0,0,0
94,AGM00060686,21.333,0.95,399.0,BORDJ_BADJ_MOKHTAR,8,Automatic,0,1,1,1,1
95,AGM00060690,19.567,5.767,401.0,IN_GUEZZAM,8,Manual,1,1,1,1,0
96,AGXLT074658,27.88,-0.28,263.0,ADRAR,30,Automatic,1,1,1,1,1
97,AGXLT104989,33.12,6.13,85.0,TOUGGOURT,18,Automatic,1,1,0,0,1
98,AGXLT146043,31.7,2.9,398.0,HASSI_MESSOUD,0,Semiautomatic,0,1,0,0,0
99,AGXLT191914,35.3,0.2,511.0,MASCARA_GRISS_ALGERIA,0,Manual,0,0,1,0,1
